Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID
4,,10-XX,B3F-10XX,"RESET_SW, SW_BEE_RST, SW_CHARGE_INDICATORS, SW_WAKEUP",OMRON SWITCH,,B3F-1000,176432,36M3542,
1,,ARDUINO_SERIAL_PROGRAMPTH,1X06,JP1,FTDI connector footprints,,,,,
1,,FE06-1,FE06,AD,FEMALE HEADER,,,unknown,unknown,
2,,FE08-1,FE08,"IOL, POWER",FEMALE HEADER,,,unknown,unknown,
1,,FE10-1,FE10,IOH,FEMALE HEADER,,,unknown,unknown,
2,,JACK-JST-2P-PW2.0,JST-2.0,"LIPO-BAT, SOLAR",,,,,,
2,,LEDCHIPLED_0603,CHIPLED_0603,"UART1_RX_LED, UART1_TX_LED",LED,,,,,
1,,MA04-1,MA04-1,I2C,PIN HEADER,,,unknown,unknown,
6,,SJ,SJ,"SJ1, SJ3, SJ5, SJ6, SJ7, SJ8",SMD solder JUMPER,,,,,
2,,SJ2W,SJ_2,"SJ2, SJ4",SMD solder JUMPER,,,,,
2,100k,R-EU_R0603,R0603-ROUND,"R6, R8","RESISTOR, European symbol",,,,,
10,100n,C-EUC0603,C0603-ROUND,"C2, C3, C4, C6, C7, C8, C11, C12, UART1_C2, UART1_C11","CAPACITOR, European symbol",,,,,
3,100nF,C-EUC0603,C0603-ROUND,"C14, C15, C16","CAPACITOR, European symbol",,,,,
2,10M_1%,R-EU_R0603,R0603-ROUND,"R20, R21","RESISTOR, European symbol",,,,,
14,10k,R-EU_R0603,R0603-ROUND,"R1, R2, R3, R4, R5, R7, R10, R11, R12, R13, R16, R_RESET, R_WAKEUP, UART1_R6","RESISTOR, European symbol",,,,,
2,10n,C-EUC0603,C0603-ROUND,"UART1_C1, UART1_C10","CAPACITOR, European symbol",,,,,
4,10µF / 16V,C-EUC0805,C0805,"C17, C18, C19, C20","CAPACITOR, European symbol",,,,,
1,16.000 MHz,CRYSTALHC49U-V,HC49U-V,Q1,CRYSTAL,,,1666969,unknown,
3,1k,R-EU_R0603,R0603-ROUND,"R9, R14, R15","RESISTOR, European symbol",,,,,
2,1µ,C-EUC1210,C1210,"C5, C10","CAPACITOR, European symbol",,,,,
1,1µF,C-EUC1210,C1210,C13,"CAPACITOR, European symbol",,,,,
2,22p,C-EUC0603,C0603-ROUND,"C1, C9","CAPACITOR, European symbol",,,,,
1,22µH,L-EUL1812,L1812,UART1_L2,"INDUCTOR, European symbol",,,,,
2,2M_1%,R-EU_R0603,R0603-ROUND,"R18, R19","RESISTOR, European symbol",,,,,
2,2k2,R-EU_R0603,R0603-ROUND,"UART1_R7, UART1_R10","RESISTOR, European symbol",,,,,
1,"2x Reichelt BL 1X10G SMD2,00",XBEE-1B3,XBEE-SMD,XBEE_SOCKET,Xbee module footprints,,,,,CONN-09042
1,330 (20mA) or 2k2,R-EU_R0603,R0603-ROUND,R17,"RESISTOR, European symbol",,,,,
1,CHRG_Red,LEDCHIPLED_0603,CHIPLED_0603,LED1,LED,,,,,
1,"CN3065-1320040P1, Aliexpress Such as rhyme new original CN3065 DFN8 lithium battery charge management / protection chip IC",CN3065-1320040P1,DFN8,U3,USB-Compatible Lithiumt-Ion Battery Charger with Thermal Regulation,,,,,
1,DONE_Green,LEDCHIPLED_0603,CHIPLED_0603,LED2,LED,,,,,
3,GROVE-4P-2.0-SMD Seed ACC39145O,GROVE-4P-2.0-SMD-FEMALE-REINFORCE-3470090P1,4P-SMD-2.0,"GROOVE_A6_A7, GROOVE_D7_D8, GROOVE_I2C",,,,,,
1,"LP2985-33DBV, Farnell 2395925",LP2985-XXDBVR33,SOT23-DBV,IC1,ULTRALOW-POWER 50-mA LOW-DROPOUT LINEAR REGULATORS,,,,,
5,MSS1P2U,D1005,D1005,"D2, D3, D4, D5, D6",,,,,,
1,Reichelt ATMEGA 1284P-AU,ATMEGA644A,TQFP44,ATMEGA1284P-AU,8-bit Microcontroller with 64K Bytes In-System Programmable Flash,,ATMEGA644PV-10AU,1455123,58M3748,
1,Reichelt FT 232 RL,FT232RL,SSOP28,UART1_IC2,Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf,,,,,
1,Reichelt IRLML 6402,MOS_P_SOT23_GDS,SOT23,T_LIPO_USB,P - CHANNEL ENHANCEMENT MODE (POWER ) MOS TRANSISTOR,,,,,
1,Reichelt WSL 6G,AVRISP-6,AVRISP,ISP1,AVR ISP HEADER,,,,,
3,Reichelt ZVN 3306 F,BSS123,SOT23,"Q5, Q6, Q7",N-CHANNEL MOS FET,,,,,
1,Seed BLE Bee - Based on HM-11 Module sowie Bluetooth V4.0 HM-11 BLE Module ,HM-11,16P-18.5X13.5X0.8,U2,Bluetooth Specification V4.0 BLE,,,,,
1,Sparkfun PRT-00127,USD-SOCKETNEW,MICRO-SD-SOCKET-PP,U1,microSD Socket,,,,,
1,USB-MINIB-5PIN Sparkfun PRT-00587,USB-MINIB-5PIN,USB-MINIB,USB_CONNECTOR,"Mini-USB ""B"" connector with 5th pin broken out.",,,,,
